City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
678,Kavaratti,IN,83.37,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
679,Amapa,BR,78.28,broken clouds,1.0,-52.0,
682,Pailon,BO,72.5,overcast clouds,-17.65,-62.75,La plaza
683,Benguela,AO,72.84,clear sky,-12.5763,13.4055,Hotel Praia Morena
685,Nicoya,CR,84.47,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
688,Sri Aman,MY,77.09,light rain,1.2376,111.4621,Seri Simanggang Hotel
690,Odweyne,SO,78.57,overcast clouds,9.4092,45.064,Eng Hiirey House
692,Hakui,JP,65.23,overcast clouds,36.8833,136.7833,KYUKAMURA NOTO-CHIRIHAMA
693,Parrita,CR,83.41,overcast clouds,9.5201,-84.3225,Beso del Viento
694,Longyan,CN,72.72,light rain,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
696,Ferme-Neuve,CA,72.27,scattered clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
698,Saint Albans,GB,69.15,scattered clouds,51.75,-0.3333,The White Hart
699,Sinnamary,GF,82.49,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
703,Paracuru,BR,83.1,few clouds,-3.41,-39.0306,Hotel Vento Brasil
704,Bongandanga,CD,75.69,scattered clouds,1.5,21.05,
